total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
52.74,101.68,1132.07,118.74,0.361,Enrolled,1493.62
100.64,275.09,187.6,2.58,0.194,Not Enrolled,7490.12
5.71,172.43,218.74,45.76,0.299,Not Enrolled,1355.19
15.0,114.7,94.68,7.14,0.361,Not Enrolled,1710.67
2.37,57.46,285.45,109.64,0.501,Not Enrolled,307.54
4.59,47.13,313.4,85.22,0.166,Enrolled,373.27
9.97,151.92,652.93,140.61,0.245,Not Enrolled,809.94
3.49,123.98,345.62,113.32,0.268,Not Enrolled,566.95
0.301,35.43,99.82,126.65,0.0966,Enrolled,131.1
2.01,57.31,659.49,258.17,0.0857,Enrolled,265.71
19.12,154.22,748.91,111.55,0.75,Not Enrolled,1232.56
5.79,108.76,196.17,38.91,0.622,Not Enrolled,993.31
2.5,307.26,387.23,127.58,0.191,Enrolled,1448.58
1.35,59.75,105.98,63.91,0.286,Not Enrolled,275.09
13.75,136.18,435.41,67.32,0.179,Not Enrolled,1213.67
7.63,126.63,236.09,46.25,0.298,Not Enrolled,952.67
3.42,169.82,113.47,27.51,0.49,Enrolled,1500.54
0.814,139.38,229.61,135.33,0.394,Enrolled,536.73
37.26,321.69,523.74,42.07,0.34,Not Enrolled,4031.52
12.09,68.84,449.54,71.68,0.141,Enrolled,807.49
1.03,79.03,77.46,59.81,0.157,Not Enrolled,301.84
144.33,163.95,885.76,51.08,0.41,Not Enrolled,2531.9
7.3,48.78,392.16,86.56,0.305,Not Enrolled,407.6
1.23,32.66,402.78,214.9,0.356,Enrolled,120.41
9.88,35.98,221.12,37.17,0.12,Not Enrolled,408.64
1.37,51.67,54.65,28.92,0.226,Enrolled,416.36
0.293,125.21,73.43,105.13,0.202,Not Enrolled,305.95
13.54,135.19,434.77,68.42,0.207,Not Enrolled,1163.69
1.56,38.8,183.65,95.74,0.167,Not Enrolled,195.22
2.96,64.01,108.57,35.19,0.0922,Enrolled,541.15
0.406,155.71,48.59,60.15,0.289,Enrolled,526.1
5.89,43.86,361.36,83.45,0.141,Enrolled,426.97
1.2,101.96,107.04,64.77,0.232,Not Enrolled,449.75
64.12,72.51,539.65,34.65,0.284,Not Enrolled,1362.06
0.523,63.69,244.13,194.45,0.0645,Enrolled,193.16
1.72,86.7,515.09,228.35,0.242,Enrolled,286.94
3.05,81.44,273.59,94.63,0.187,Not Enrolled,447.32
1.89,79.58,314.16,133.64,0.402,Enrolled,353.87
1.98,93.49,139.8,59.83,0.379,Not Enrolled,507.25
1.9,82.2,290.37,123.26,0.243,Enrolled,389.74
9.64,164.37,532.75,108.02,0.454,Not Enrolled,961.99
27.57,90.88,114.58,4.61,0.407,Not Enrolled,2042.73
11.64,64.85,299.14,43.61,0.479,Not Enrolled,760.72
2.16,76.68,192.43,73.98,0.133,Enrolled,512.06
3.7,29.12,278.12,91.43,0.0328,Enrolled,204.47
1.78,107.64,90.92,38.93,0.149,Enrolled,744.92
2.72,67.29,241.28,84.32,0.649,Not Enrolled,394.19
13.84,94.63,701.14,128.57,0.364,Not Enrolled,686.54
19.62,86.22,631.25,93.03,0.259,Not Enrolled,826.93
0.947,39.46,125.47,94.01,0.0487,Not Enrolled,165.71
1.01,25.72,31.28,28.02,0.178,Not Enrolled,148.2
4.75,52.73,305.08,95.69,0.133,Not Enrolled,274.29
16.43,103.43,146.97,14.4,0.115,Not Enrolled,1272.44
22.25,102.55,308.17,28.61,0.265,Not Enrolled,1495.12
0.512,53.47,118.12,119.42,0.177,Not Enrolled,166.53
0.257,55.63,48.34,82.83,0.298,Enrolled,186.44
2.18,99.26,76.79,28.23,0.641,Not Enrolled,715.29
16.46,42.17,1005.75,191.49,0.287,Enrolled,332.28
0.278,70.52,122.24,149.53,0.123,Enrolled,202.55
14.86,49.9,754.98,138.78,0.174,Enrolled,428.11
13.26,65.53,229.82,29.77,0.443,Not Enrolled,770.35
3.15,47.16,207.25,71.66,0.754,Not Enrolled,271.1
1.35,28.54,141.79,83.78,0.0967,Enrolled,148.94
53.03,435.34,513.95,29.72,0.191,Not Enrolled,6997.86
20.34,106.05,462.81,55.62,0.276,Not Enrolled,1271.46
11.2,245.28,218.79,33.63,0.187,Not Enrolled,1716.52
6.32,70.13,721.61,179.05,0.211,Enrolled,479.43
7.78,24.6,1055.0,281.73,0.137,Enrolled,136.08
13.92,54.74,591.38,108.03,0.308,Not Enrolled,437.61
0.626,54.86,216.61,166.21,0.0257,Enrolled,191.88
3.54,134.91,247.52,68.1,0.248,Enrolled,996.06
0.152,64.27,81.28,158.58,0.00522,Enrolled,151.46
5.38,104.02,894.32,250.12,0.0683,Enrolled,508.26
0.224,33.08,95.26,153.57,0.0868,Enrolled,90.99
1.58,106.75,85.36,48.85,0.304,Not Enrolled,435.3
3.6,133.55,172.84,47.98,0.307,Not Enrolled,948.59
43.54,71.83,1074.68,118.72,0.566,Enrolled,1082.2
3.83,89.17,170.04,49.2,0.0827,Not Enrolled,656.27
5.01,65.09,775.99,246.54,0.162,Not Enrolled,240.05
4.78,51.13,113.32,25.52,0.475,Not Enrolled,516.37
20.47,38.28,210.25,17.65,0.216,Not Enrolled,720.46
2.28,172.73,200.32,76.15,0.299,Not Enrolled,826.88
3.22,61.98,170.48,51.81,0.193,Enrolled,515.95
13.32,46.56,457.96,78.72,0.418,Not Enrolled,419.7
58.93,67.73,1060.43,127.74,0.225,Not Enrolled,622.2
0.816,106.3,170.71,121.1,0.182,Not Enrolled,336.59
1.81,51.27,284.89,132.31,0.0959,Enrolled,237.71
10.77,217.02,188.24,25.38,0.377,Not Enrolled,1928.55
1.93,51.57,209.53,91.3,0.377,Enrolled,282.7
6.49,52.85,906.12,259.79,0.434,Not Enrolled,214.87
1.36,48.67,148.0,76.98,0.149,Enrolled,297.33
0.651,30.35,23.78,26.42,0.0654,Enrolled,205.04
111.21,123.61,1044.94,79.1,0.292,Not Enrolled,1827.86
10.14,68.93,515.01,100.48,0.406,Not Enrolled,553.44
13.12,104.29,129.28,12.64,0.377,Not Enrolled,1418.47
5.69,56.72,779.73,218.54,0.649,Not Enrolled,270.59
0.856,59.33,214.11,138.62,0.27,Enrolled,230.88
2.2,57.87,296.76,122.41,0.222,Not Enrolled,284.75
0.562,56.72,224.32,181.38,0.124,Enrolled,169.18
2.83,100.33,139.38,47.18,0.438,Not Enrolled,629.51
10.03,101.76,233.1,37.92,0.0777,Not Enrolled,990.77
0.94,122.34,269.78,165.42,0.358,Not Enrolled,334.8
3.56,33.86,421.41,131.18,0.482,Enrolled,228.02
9.6,72.68,341.36,58.98,0.495,Not Enrolled,716.55
1.78,41.43,110.12,48.26,0.347,Enrolled,315.69
2.64,45.48,383.14,138.46,0.134,Enrolled,275.26
7.4,64.81,353.93,74.2,0.335,Not Enrolled,557.06
69.46,95.79,372.57,16.7,0.525,Not Enrolled,1890.09
10.67,42.99,819.92,180.1,0.173,Enrolled,306.53
0.339,77.85,207.32,193.04,0.367,Enrolled,217.67
5.32,60.38,103.48,21.19,0.197,Not Enrolled,663.31
27.12,37.31,739.87,102.06,0.143,Not Enrolled,430.4
5.26,53.4,210.88,42.57,0.451,Enrolled,656.9
5.9,63.05,275.05,67.72,0.494,Not Enrolled,429.89
2.27,97.37,306.34,128.57,0.0433,Not Enrolled,402.32
0.794,35.64,155.39,117.53,0.0918,Enrolled,148.07
14.07,103.49,564.15,95.65,0.369,Not Enrolled,823.02
1.98,40.74,246.69,116.34,0.0414,Not Enrolled,194.46
53.48,29.34,604.13,52.3,0.521,Not Enrolled,434.24
5.07,53.6,423.97,121.87,0.135,Not Enrolled,318.49
